TERM,DEFINITION,PAGES
30-Second Rule,"If thunder sound is within 30 seconds of lightning flash, seek shelter.",A15
Approach Angle,The steepest slope a vehicle can climb without the front bumper scraping the ground.,B05
Belly Drag,"When the vehicle’s underside is stuck on the ground, making it hard to move.",B11
Breakover Angle,The biggest hump a vehicle can drive over without scraping its belly.,B05
Bridle,A V-shaped two-leg connection that shares the pull between two attachment points.,E09
Bunny Hop,Emergency escape from ground electricity by hopping away with both feet together.,A17
Capstan Effect,"Friction increases as a rope bends around a surface, making the rope harder to pull.",C15
Casualty Vehicle,See Disabled Vehicle.,B21
Chock,Block placed against a tire to stop a vehicle from rolling.,G19
Clevis Hook,A hook with a U-shaped pin-end that connects to chain or rigging hardware.,C31
Clutch,Control that lets the winch pull with motor power or unwind freely by hand.,C09
Contactor,See Solenoid.,"C03, C07, X07"
Control Pack,"The winch’s electrical box. It holds the contactor or solenoids, control electronics, and wireless receiver (for the remote).",C07
Core,The center part of a rope that supports the strands and helps the rope keep its shape.,C21
D-Ring,A D-shaped metal ring fixed to a vehicle as a recovery attachment point.,C37
Damper,A weighted blanket placed on a tensioned line to reduce whip if the line breaks.,"C53, D19"
Danger Triangle,The danger zone formed where tensioned winch lines make a triangle.,D25
Deadman Anchor,"A strong object buried in the ground to act as an anchor when no tree, rock, or vehicle is available.",D09
Departure Angle,The steepest slope a vehicle can leave without the rear bumper scraping the ground.,B05
Direct Strike,"When lightning hits a person, vehicle, tree, or object directly.",A15
Disabled Vehicle,"The vehicle that is stuck or disabled, and is being recovered.",B21
Double Line,Two shortening line legs sharing the load to create 2:1 MA.,E05
Drum Layer,One level of rope wrapped around the winch drum.,"D15, G13"
Duty Cycle,How long a machine can work before it needs a rest to prevent overheating.,E15
Fairlead,The attachment in front of the winch that guides the line smoothly onto the drum.,"C07, C11"
Fiber,A tiny thread of synthetic material used to build synthetic rope.,C13
Field Margin,Extra safety allowance for real-world uncertainty.,E13
Flash-to-Bang,"The seconds between seeing the lightning flash and hearing thunder, used to estimate how far away the storm is.",A15
Fording Depth,"How deep can the vehicle be submerged in water, for a limited period of time",B05
Free Spool,Winch mode that lets the operator pull out line by hand without using the motor.,"C09, G13"
Grade,The steepness of a slope.,E11
Ground Clearance,Space between the lowest vehicle part and the ground.,B05
Ground Current,Electricity spreading through the ground after lightning strikes or a live power line touches down.,A15
GVW,Gross Vehicle Weight; what the vehicle weighs right now with everything in it.,"B07, E13"
Hard Shackle,"A metal U-shaped connector with a pin, used to connect recovery gear.",C37
Hawse Fairlead,"A smooth rope guide with a polished opening, used with synthetic rope.",C11
Hook,"Curved metal connector used to attach a line, chain, or strap.","C07, C31"
Hook Strap,A short strap used to pull the hook while keeping hands clear.,"C07, C35"
ICS 201,A FEMA form that shows the recovery plan and who is in charge.,"X19, B23, D27, E37"
ICS 214,A FEMA log to document what happens during the recovery operation.,"X27, G21"
ICS 218,A FEMA gear list showing what is available and ready to use.,"X21, C63"
Improvised Anchor,A field-made anchor when no fixed or vehicle anchor is available.,D09
Incident Commander,Person who leads the recovery and leads decision making.,B03
Kill Zone,The area no one should stand in because it can be deadly.,"D23, D25"
Kinetic Recovery,Using a stretchy rope or strap to pull a stuck vehicle free.,C61
Lay of Rope,The direction the rope strands twist together.,C21
Line Pull,Pulling force carried by the winch line.,E13
Line Speed,How fast the winch line moves in or out.,F01
Load Path,"The route pulling force takes through the winch line, hardware, anchor, and vehicle.",F03
MA,Mechanical Advantage; a setup that lets you pull more weight with less effort.,E07
MBS,Minimum Breaking Strength; the lowest force that made the gear break during testing.,D05
Minimum Drum Wraps,Required rope wraps left on the drum to keep the line safely secured to the winch.,C15
Mire,Soft mud or ground that traps the tires of a vehicle.,B11
Moving Leg,See Shortening Leg.,F03
Moving Rope,A winch line with one or more legs that get shorter during the pull.,F03
Nominal MA,The pull power a rig should have before friction weakens it.,F03
Offset,Pulling from the side so the winch or operator can stay in a safer position.,D13
OODA Loop,"A decision cycle for stressful situations: observe what is happening, orient to why it matters, decide what to do, act, then observe again.",A03
PPE,Personal Protective Equipment; safety gear the operator wears to protect their body. Each operator must have their own.,A11
Pull Angle,The angle of winch line relative to ground.,E11
Recovery Point,Safe pulling spot on a vehicle.,C61
Recovery Ring,A smooth ring that redirects the winch line; it is not a pulley.,"C45, C47"
Redirect,Rigging that changes the force’s direction without any mechanical advantage.,D11
Remote,Hand control that lets the operator run the winch from a safer distance.,G09
Rig Code,"Short code that describes the rig type, geometry, anchor, and mode of recovery.",F01
RLP,Required Line Pull; how much pull is needed to move the disabled vehicle.,E13
Roller Fairlead,"Fairlead with rotating rollers, used with wire rope.",C11
Rolling Resistance,The force needed to keep a vehicle rolling in neutral.,B11
Rope,"The complete line used for pulling, made from strands around a core.","C13, C23"
Safe Zone,Area outside the danger area where people may stand.,"A09, D21, D23, D25"
